,allele1_PLA_Count_1,allele1_PLA_Count_2,allele1_PLA_Count_3,allele1_PLA_Count_4,allele1_PLA_Count_5,allele1_PLA_Count_6,allele1_PLA_Count_7,allele1_PLA_Count_8,allele1_PLA_Count_9,allele1_PLA_Count_10,allele2_PLA_Count_1,allele2_PLA_Count_2,allele2_PLA_Count_3,allele2_PLA_Count_4,allele2_PLA_Count_5,allele2_PLA_Count_6,allele2_PLA_Count_7,allele2_PLA_Count_8,allele2_PLA_Count_9,allele2_PLA_Count_10
1,2790,3531,6794,3060,2206,5961,7379,8967,1514,4407,570,4075,5528,2385,4647,3553,7197,8991,2778,4582
2,522,2589,6152,5383,9298,5621,8434,5747,6332,3685,5909,4652,3138,6185,5050,2637,1881,4192,8886,6770
3,710,6163,2084,2560,4672,201,3145,4934,2782,4208,3257,4719,19468,3030,1569,28,5374,4440,6908,2966
4,2171,1238,5339,1849,2438,2738,3226,2896,6269,2884,1267,1802,3865,603,1722,2362,1726,3782,2810,1841
5,4656,680,2993,2097,2042,6883,3549,1318,5924,0,1899,2157,3285,5968,398,5891,4630,3640,3301,3275
6,141,134,126,1307,179,60,138,0,0,0,70,268,94,88,120,129,422,0,0,0
7,19,240,64,59,249,89,0,0,0,0,13,62,80,127,51,0,0,0,0,0
8,10412,15412,5155,8554,11871,3347,11874,5224,14739,0,12220,6653,12031,9810,8628,5464,10353,7709,10767,0
9,1973,3305,806,3677,565,3056,450,3857,1767,0,4758,3163,2486,1325,2241,3230,1109,0,0,0
10,582,246,486,950,1017,465,0,0,0,0,978,617,644,1005,1495,632,1441,1241,0,0
11,30,183,30,97,165,458,40,13,0,0,157,121,31,334,23,93,301,149,0,0
12,373,204,893,219,196,1814,938,216,0,0,103,916,222,1126,829,642,384,331,0,0
13,1744,1446,2768,852,395,2830,1502,2876,3758,0,4903,958,1438,429,1861,684,805,2268,473,0
14,1455,745,2370,1666,1243,255,2729,1179,1100,0,1871,1939,3123,1003,2202,1850,1630,1796,0,0
15,1801,589,3339,1220,2608,606,8745,975,278,0,837,2767,1282,2172,1140,445,890,2433,2879,0
16,2039,792,2000,1555,2581,1550,1887,50,2926,0,904,2888,1375,3734,2539,2349,2488,1025,1626,0
17,368,2762,521,463,872,686,2346,1408,0,0,2596,404,675,724,1489,615,132,245,1439,0
18,1267,1705,2749,2158,4232,2776,3171,2679,4003,0,1176,835,560,613,890,1437,3857,2256,1080,0
19,145,18,97,114,243,237,0,0,0,0,437,321,603,16,25,18,120,0,0,0
20,577,1203,589,537,389,761,587,0,0,0,1249,1005,1575,472,2669,2133,624,915,1422,0
21,1202,1928,2499,1994,1455,648,2163,1560,53,0,1835,223,1617,1117,2254,682,801,1804,0,0
22,809,2006,2160,1024,1543,1868,2161,1007,363,0,1356,2001,2356,3169,2261,2974,6061,689,0,0
23,1866,2191,1684,1124,2656,623,1809,2376,0,0,2092,2615,490,764,1751,1137,1556,803,756,0
24,60,45,12,0,0,0,0,0,0,0,71,29,69,0,0,0,0,0,0,0
25,528,29,1195,112,735,160,131,142,0,0,294,364,482,276,59,134,313,359,0,0
26,120,308,182,301,16,507,301,175,0,0,82,400,264,796,94,304,56,158,0,0
27,1377,2766,2197,3889,1919,2056,1367,498,1078,0,958,1474,1236,2751,1141,2825,1872,1558,823,0
28,751,266,1052,931,1032,1902,493,1646,404,0,5880,479,408,657,1381,431,283,313,330,0
29,4485,1127,633,1790,2117,4135,2038,879,0,0,534,2810,1616,4376,1735,325,2640,2857,0,0
30,62,272,122,723,322,90,362,574,0,0,177,146,80,516,15,103,376,0,0,0
31,451,210,193,39,170,125,93,355,165,0,202,58,209,337,31,320,159,173,402,0
32,195,879,187,27,742,82,175,501,244,0,91,51,35,152,57,631,246,23,0,0
33,614,731,637,108,59,133,1009,229,0,0,356,208,479,162,517,885,469,703,0,0
34,204,301,194,413,264,650,964,879,519,0,485,132,219,416,640,1090,131,373,0,0
35,214,754,235,140,574,260,145,567,0,0,503,349,347,647,428,0,0,0,0,0
