,x
1,10_21055844_front_150_behind_50
2,10_21055844_front_50_behind_150
3,11_130848735_front_50_behind_150
4,11_66573497_front_50_behind_150
5,12_29780136_front_150_behind_50
6,12_50187864_front_100_behind_100
7,13_43754868_front_50_behind_150
8,14_81297554_front_100_behind_100
9,15_40279991_front_50_behind_150
10,15_89300719_front_100_behind_100
11,15_89357656_front_100_behind_100
12,16_4419283_front_50_behind_150
13,16_4447450_front_100_behind_100
14,16_89631217_front_100_behind_100
15,16_89631217_front_150_behind_50
16,17_19391511_front_100_behind_100
17,17_63468418_front_100_behind_100
18,19_19329257_front_100_behind_100
19,19_19367213_front_150_behind_50
20,19_2129707_front_100_behind_100
21,19_32672137_front_150_behind_50
22,19_49665670_front_100_behind_100
23,1_150059494_front_100_behind_100
24,1_150059494_front_150_behind_50
25,1_150059494_front_50_behind_150
26,1_205046156_front_100_behind_100
27,20_38698783_front_150_behind_50
28,21_45621894_front_100_behind_100
29,22_40653398_front_100_behind_100
30,22_49909882_front_50_behind_150
31,2_198058744_front_150_behind_50
32,2_200362139_front_50_behind_150
33,2_37312433_front_100_behind_100
34,2_57916303_front_150_behind_50
35,2_73610828_front_100_behind_100
36,2_73610828_front_50_behind_150
37,2_97658891_front_50_behind_150
38,3_136050568_front_100_behind_100
39,3_136050568_front_150_behind_50
40,3_136435986_front_150_behind_50
41,3_177010804_front_100_behind_100
42,3_177010804_front_150_behind_50
43,3_50336862_front_150_behind_50
44,3_52811089_front_100_behind_100
45,4_103016776_front_150_behind_50
46,5_109676609_front_50_behind_150
47,5_140767314_front_150_behind_50
48,5_141474289_front_150_behind_50
49,5_154301187_front_50_behind_150
50,5_45187702_front_150_behind_50
51,6_108666981_front_100_behind_100
52,8_10368845_front_100_behind_100
53,8_10388815_front_50_behind_150
54,8_143160497_front_50_behind_150
55,8_17223114_front_50_behind_150
56,8_8240516_front_100_behind_100
57,9_109045114_front_150_behind_50
58,rs4949526_front_150_behind_50
